Site_ID,Location_ID,Country,Sample_ID,Date,Laboratory,Contact_name,Contact_email,Paper_code,"Latitude, WGS 84","Longitude, WGS 84",Soil_type,Veg_type,Sample_location,PW_soil_descrip,Cathcment_size,Wetland_cover,Depth_sample,THg,THg_err,DHg,DHg_err,Filter_Size,MeHg,MeHg_err,TOC,TOC_err,DOC,DOC_err,RHgC,Turbidity,pH,EC,Alk,P,Cl,SO4,TDS,Notes,Collector,Range Flag,Outlier Flag,,
Hudson_Bay_Lowlands,Ontario,Canada,SPC,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.333,-85.019,NA,Boreal wetland,lake,NA,NA,NA,NA,1.4,0.094,NA,NA,NA,0.038,0.0031,NA,NA,7.9,NA,0.17721519,NA,7.9,NA,63.4,10.8,NA,NA,NA,NA,NA,0,0,,
Hudson_Bay_Lowlands,Ontario,Canada,SRT,2010,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,55.111,-84.093,NA,Boreal wetland,lake,NA,NA,NA,NA,1.2,0.027,NA,NA,NA,0.046,0.012,NA,NA,6.3,NA,0.19047619,NA,8,NA,79.3,19.6,NA,NA,NA,NA,NA,0,0,,
Hudson_Bay_Lowlands,Ontario,Canada,WGN,NA,University_of_Ottawa,Jules_Blais,Jules.Blais@uottawa.ca,Brazeau_et_al_2013,54.85,-84.46,NA,Boreal wetland,lake,NA,NA,NA,NA,0.77,0.039,NA,NA,NA,0.03,0.011,NA,NA,9.1,NA,0.084615385,NA,7.9,NA,70.1,15.2,NA,NA,NA,NA,NA,1,0,,
Scotty Creek drainage basin ,NWT,Canada,NA,2013,Biotron_Inst_Exp_Climate_Change_Res,J_Gordon,gordonj215@gmail.com,Gordon_2016,61.436699°,-121.560759°,NA,Wetland tundra,porewater,Bog,NA,NA,25,4.46,NA,NA,NA,NA,NA,NA,NA,NA,32.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lat/lon was approximated using Google Earth,NA,0,0,,
Scotty Creek drainage basin ,NWT,Canada,NA,2013,Biotron_Inst_Exp_Climate_Change_Res,J_Gordon,gordonj215@gmail.com,Gordon_2016,61.436699°,-121.560759°,NA,Wetland tundra,porewater,Bog,NA,NA,25,4.54,NA,NA,NA,NA,NA,NA,NA,NA,36.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lat/lon was approximated using Google Earth,NA,0,0,,
Scotty Creek drainage basin ,NWT,Canada,NA,2013,Biotron_Inst_Exp_Climate_Change_Res,J_Gordon,gordonj215@gmail.com,Gordon_2016,61.436699°,-121.560759°,NA,Wetland tundra,porewater,Bog,NA,NA,25,5.65,NA,NA,NA,NA,NA,NA,NA,NA,47.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lat/lon was approximated using Google Earth,NA,0,0,,
Scotty Creek drainage basin ,NWT,Canada,NA,2013,Biotron_Inst_Exp_Climate_Change_Res,J_Gordon,gordonj215@gmail.com,Gordon_2016,61.436699°,-121.560759°,NA,Wetland tundra,porewater,Poor fen,NA,NA,25,5.95,NA,NA,NA,NA,NA,NA,NA,NA,41.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lat/lon was approximated using Google Earth,NA,0,0,,
Scotty Creek drainage basin ,NWT,Canada,NA,2013,Biotron_Inst_Exp_Climate_Change_Res,J_Gordon,gordonj215@gmail.com,Gordon_2016,61.436699°,-121.560759°,NA,Wetland tundra,porewater,Poor fen,NA,NA,25,4.82,NA,NA,NA,NA,NA,NA,NA,NA,49.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lat/lon was approximated using Google Earth,NA,0,0,,
Scotty Creek drainage basin ,NWT,Canada,NA,2013,Biotron_Inst_Exp_Climate_Change_Res,J_Gordon,gordonj215@gmail.com,Gordon_2016,61.436699°,-121.560759°,NA,Wetland tundra,porewater,Poor fen,NA,NA,25,6.75,NA,NA,NA,NA,NA,NA,NA,NA,42.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lat/lon was approximated using Google Earth,NA,0,0,,
Tuktoyaktuk,lower_Mackenzie_Basin,Canada,M1,2005-08-01,NA,NA,NA,Leitch_2006,69.4573,-133.03622,NA,NA,River,NA,"180,500,000",NA,10,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Original value was <1.94,NA,0,0,,
Kittigazuit Bay,lower_Mackenzie_Basin,Canada,M2,2005-08-01,NA,NA,NA,Leitch_2006,69.37505,-133.70162,NA,NA,River,NA,"180,500,000",NA,10,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Holmes Creek,lower_Mackenzie_Basin,Canada,M3,2005-08-01,NA,NA,NA,Leitch_2006,69.11272,-134.35227,NA,NA,River,NA,"180,500,000",NA,10,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Original value was <2.31,NA,0,0,,
Mackenzie R. at Swimming Point (in Delta),lower_Mackenzie_Basin,Canada,M4,2005-08-01,NA,NA,NA,Leitch_2006,69.0931,-134.38275,NA,NA,River,NA,"180,500,000",NA,10,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Reindeer Channel (in Delta),lower_Mackenzie_Basin,Canada,M5,2005-08-01,NA,NA,NA,Leitch_2006,68.91355,-135.51093,NA,NA,River,NA,"180,500,000",NA,10,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Shallow Bay (in Delta),lower_Mackenzie_Basin,Canada,M6,2005-08-01,NA,NA,NA,Leitch_2006,68.8638,-135.58333,NA,NA,River,NA,"180,500,000",NA,10,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Original value was <1.94,NA,0,0,,
Mackenzie R. at Axel Creek (in Delta),lower_Mackenzie_Basin,Canada,M7,2005-08-01,NA,NA,NA,Leitch_2006,68.69747,-134.46727,NA,NA,River,NA,"180,500,000",NA,10,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Axel Creek (in Delta),lower_Mackenzie_Basin,Canada,M8,2005-08-01,NA,NA,NA,Leitch_2006,68.69145,-134.49622,NA,NA,River,NA,"180,500,000",NA,10,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. at Horseshoe Bend (in Delta),lower_Mackenzie_Basin,Canada,M10,2005-08-01,NA,NA,NA,Leitch_2006,68.24557,-134.4029,NA,NA,River,NA,"180,500,000",NA,10,6.87,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Peel R. (in Delta),lower_Mackenzie_Basin,Canada,M11,2005-08-01,NA,NA,NA,Leitch_2006,67.9102,-134.3853,NA,NA,River,NA,"180,500,000",NA,10,9.03,NA,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Peel R.,lower_Mackenzie_Basin,Canada,M12,2005-08-01,NA,NA,NA,Leitch_2006,67.6936,-134.52358,NA,NA,River,NA,"180,500,000",NA,10,6.72,NA,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. at Point Separation,lower_Mackenzie_Basin,Canada,M13,2005-08-01,NA,NA,NA,Leitch_2006,67.58943,-134.02857,NA,NA,River,NA,"180,500,000",NA,10,11.63,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Arctic Red R.,lower_Mackenzie_Basin,Canada,M14,2005-08-01,NA,NA,NA,Leitch_2006,67.4503,-133.7775,NA,NA,River,NA,"180,500,000",NA,10,9.4,NA,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Arctic Red R.,lower_Mackenzie_Basin,Canada,M15,2005-08-01,NA,NA,NA,Leitch_2006,67.43998,-133.75193,NA,NA,River,NA,"180,500,000",NA,10,8.63,NA,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. at Benoit Creek,lower_Mackenzie_Basin,Canada,M17,2005-08-01,NA,NA,NA,Leitch_2006,67.31882,-132.30685,NA,NA,River,NA,"180,500,000",NA,10,6.22,NA,3.01±1.04,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. at Travaillant R.,lower_Mackenzie_Basin,Canada,M19,2005-08-01,NA,NA,NA,Leitch_2006,67.46007,-131.49545,NA,NA,River,NA,"180,500,000",NA,10,4.59,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Downstream Ontaritue R.,lower_Mackenzie_Basin,Canada,M20,2005-08-01,NA,NA,NA,Leitch_2006,na,na,NA,NA,Water,NA,"180,500,000",NA,10,17.69,NA,13.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Ontaritue R.,lower_Mackenzie_Basin,Canada,M21,2005-08-01,NA,NA,NA,Leitch_2006,66.75987,-130.04013,NA,NA,River,NA,"180,500,000",NA,10,17.69,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Ontaritue R.,lower_Mackenzie_Basin,Canada,M22,2005-08-01,NA,NA,NA,Leitch_2006,66.75498,-129.96352,NA,NA,River,NA,"180,500,000",NA,10,15.13,NA,16.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Hare Indian R. ,lower_Mackenzie_Basin,Canada,M23 ,2005-08-01,NA,NA,NA,Leitch_2006,66.3209,-128.6414,NA,NA,River,NA,"180,500,000",NA,10,19.32,NA,14.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,
Hare Indian R.,lower_Mackenzie_Basin,Canada,M24,2005-08-01,NA,NA,NA,Leitch_2006,66.29347,-128.62707,NA,NA,River,NA,"180,500,000",NA,10,16.76,NA,16.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Hare Indian R.,lower_Mackenzie_Basin,Canada,M25,2005-08-01,NA,NA,NA,Leitch_2006,66.29033,-128.64322,NA,NA,River,NA,"180,500,000",NA,10,7,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Mountain R. and Stinky Creek,lower_Mackenzie_Basin,Canada,M26,2005-08-01,NA,NA,NA,Leitch_2006,65.7979,-128.83968,NA,NA,River,NA,"180,500,000",NA,10,29.66,NA,26.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,
Mountain R.,lower_Mackenzie_Basin,Canada,M28,2005-08-01,NA,NA,NA,Leitch_2006,65.68745,-128.82457,NA,NA,River,NA,"180,500,000",NA,10,9.53,NA,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Mountain R.,lower_Mackenzie_Basin,Canada,M29,2005-08-01,NA,NA,NA,Leitch_2006,65.68027,-128.81905,NA,NA,River,NA,"180,500,000",NA,10,19.64,NA,14.52±2.47,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,
Mackenzie R. below Norman Wells,lower_Mackenzie_Basin,Canada,M32,2005-08-01,NA,NA,NA,Leitch_2006,65.29828,-127.08828,NA,NA,River,NA,"180,500,000",NA,10,15.39,NA,12.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Norman Wells,lower_Mackenzie_Basin,Canada,M33,2005-08-01,NA,NA,NA,Leitch_2006,65.24847,-126.7647,NA,NA,River,NA,"180,500,000",NA,10,11.47,NA,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Great Bear R.,lower_Mackenzie_Basin,Canada,M35,2005-08-01,NA,NA,NA,Leitch_2006,64.91078,-125.59397,NA,NA,River,NA,"180,500,000",NA,10,6.11,NA,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Great Bear R.,lower_Mackenzie_Basin,Canada,M36 ,2005-08-01,NA,NA,NA,Leitch_2006,64.89008,-125.54133,NA,NA,River,NA,"180,500,000",NA,10,13.51,NA,10.20±4.60,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Keele R.,lower_Mackenzie_Basin,Canada,M40,2005-08-01,NA,NA,NA,Leitch_2006,64.4654,-124.7986,NA,NA,River,NA,"180,500,000",NA,10,7.52,NA,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Keele R.,lower_Mackenzie_Basin,Canada,M42,2005-08-01,NA,NA,NA,Leitch_2006,64.41252,-124.79763,NA,NA,River,NA,"180,500,000",NA,10,4.82,NA,2.51±2.48,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Keele R.,lower_Mackenzie_Basin,Canada,M43,2005-08-01,NA,NA,NA,Leitch_2006,64.39283,-124.75893,NA,NA,River,NA,"180,500,000",NA,10,13.41,NA,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Redstone R.,lower_Mackenzie_Basin,Canada,M44,2005-08-01,NA,NA,NA,Leitch_2006,64.30543,-124.61263,NA,NA,River,NA,"180,500,000",NA,10,6.57,NA,3.12±2.26,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Redstone R.,lower_Mackenzie_Basin,Canada,M45,2005-08-01,NA,NA,NA,Leitch_2006,64.29003,-124.54532,NA,NA,River,NA,"180,500,000",NA,10,7.15,NA,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Redstone R.,lower_Mackenzie_Basin,Canada,M46,2005-08-01,NA,NA,NA,Leitch_2006,64.28277,-124.5105,NA,NA,River,NA,"180,500,000",NA,10,10.13,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Dahadini R.,lower_Mackenzie_Basin,Canada,M47,2005-08-01,NA,NA,NA,Leitch_2006,64.01213,-124.38805,NA,NA,River,NA,"180,500,000",NA,10,3.34,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Dahadini R.,lower_Mackenzie_Basin,Canada,M48,2005-08-01,NA,NA,NA,Leitch_2006,63.98537,-124.36952,NA,NA,River,NA,"180,500,000",NA,10,10.5,NA,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Between Dahadini and Blackwater R.,lower_Mackenzie_Basin,Canada,M49,2005-08-01,NA,NA,NA,Leitch_2006,na,na,NA,NA,River,NA,"180,500,000",NA,10,7.99,NA,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Blackwater R.,lower_Mackenzie_Basin,Canada,M50,2005-08-01,NA,NA,NA,Leitch_2006,63.94212,-124.175,NA,NA,River,NA,"180,500,000",NA,10,2.1,NA,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Blackwater R.,lower_Mackenzie_Basin,Canada,M51,2005-08-01,NA,NA,NA,Leitch_2006,63.96825,-124.30198,NA,NA,River,NA,"180,500,000",NA,10,3.97,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Ochre R.,lower_Mackenzie_Basin,Canada,M53,2005-08-01,NA,NA,NA,Leitch_2006,63.46648,-123.70377,NA,NA,River,NA,"180,500,000",NA,10,24.51,NA,24.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,
Mackenzie R. below Wrigley R. ,lower_Mackenzie_Basin,Canada,M54 ,2005-08-01,NA,NA,NA,Leitch_2006,63.2733,-123.6115,NA,NA,River,NA,"180,500,000",NA,10,12.43,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Wrigley R.,lower_Mackenzie_Basin,Canada,M55,2005-08-01,NA,NA,NA,Leitch_2006,63.2419,-123.56917,NA,NA,River,NA,"180,500,000",NA,10,9.58,NA,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Wrigley R.,lower_Mackenzie_Basin,Canada,M56,2005-08-01,NA,NA,NA,Leitch_2006,63.23548,-123.54752,NA,NA,River,NA,"180,500,000",NA,10,7.61,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Willowlake R.,lower_Mackenzie_Basin,Canada,M58,2005-08-01,NA,NA,NA,Leitch_2006,62.80897,-123.2111,NA,NA,River,NA,"180,500,000",NA,10,3.24,NA,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Willowlake R.,lower_Mackenzie_Basin,Canada,M59 ,2005-08-01,NA,NA,NA,Leitch_2006,62.69865,-123.1176,NA,NA,River,NA,"180,500,000",NA,10,4.85,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Root R.,lower_Mackenzie_Basin,Canada,M61,2005-08-01,NA,NA,NA,Leitch_2006,62.43633,-123.29575,NA,NA,River,NA,"180,500,000",NA,10,5.5,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. at Camsell Bend,lower_Mackenzie_Basin,Canada,M63,2005-08-01,NA,NA,NA,Leitch_2006,62.2783,-123.36338,NA,NA,River,NA,"180,500,000",NA,10,7.81,NA,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
North Nahanni R.,lower_Mackenzie_Basin,Canada,M64,2005-08-01,NA,NA,NA,Leitch_2006,62.25098,-123.32788,NA,NA,River,NA,"180,500,000",NA,10,11.72,NA,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above North Nahanni R.,lower_Mackenzie_Basin,Canada,M65,2005-08-01,NA,NA,NA,Leitch_2006,62.24323,-123.25438,NA,NA,River,NA,"180,500,000",NA,10,2.83,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Liard R.,lower_Mackenzie_Basin,Canada,M66,2005-08-01,NA,NA,NA,Leitch_2006,61.90158,-121.4485,NA,NA,River,NA,"180,500,000",NA,10,3.06,NA,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Liard R.,lower_Mackenzie_Basin,Canada,M67,2005-08-01,NA,NA,NA,Leitch_2006,61.83648,-121.28708,NA,NA,River,NA,"180,500,000",NA,10,10.45,NA,6.14±2.60,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Liard R.,lower_Mackenzie_Basin,Canada,M68 ,2005-08-01,NA,NA,NA,Leitch_2006,61.8522,-121.26458,NA,NA,River,NA,"180,500,000",NA,10,7.09,NA,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Jean Marie R.,lower_Mackenzie_Basin,Canada,M70,2005-08-01,NA,NA,NA,Leitch_2006,61.52698,-120.63322,NA,NA,River,NA,"180,500,000",NA,10,7.25,NA,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Jean Marie R.,lower_Mackenzie_Basin,Canada,M71,2005-08-01,NA,NA,NA,Leitch_2006,61.5236,-120.60983,NA,NA,River,NA,"180,500,000",NA,10,1.69,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Trout R.,lower_Mackenzie_Basin,Canada,M72,2005-08-01,NA,NA,NA,Leitch_2006,61.31282,-119.8549,NA,NA,River,NA,"180,500,000",NA,10,6.83,NA,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. below Mills Lake,lower_Mackenzie_Basin,Canada,M73,2005-08-01,NA,NA,NA,Leitch_2006,61.36882,-118.39492,NA,NA,River,NA,"180,500,000",NA,10,3.09,NA,2.02±1.34,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
Mackenzie R. above Mills Lake,lower_Mackenzie_Basin,Canada,M74,2005-08-01,NA,NA,NA,Leitch_2006,61.46568,-118.05613,NA,NA,River,NA,"180,500,000",NA,10,2.64,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,
