Core_ID,Site_ID,Location_ID,Country,Sample_ID,Date,Laboratory,Contact_name,Contact_email,Paper_code,Latitude,Longitude,Veg_spec_common,Veg_species_sci,Veg_typ,AGB,THg_inst,THg,THg_err,Notes,Collector,Component,Range Flag,Outlier Flag
Alaska_UB1_61.27053_-163.23857,UB1,Alaska,USA,YKD-UB1,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27053,-163.23857,NA,NA,lichen,3027.49,Nippon MA-3000,34.86,-999,NA,SZ,NA,0,1
Alaska_UB1_61.27053_-163.23857,UB1,Alaska,USA,YKD-UB1,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27053,-163.23857,NA,NA,moss,62.57,Nippon MA-3000,71.73,-999,NA,SZ,NA,0,1
Alaska_UB2_61.26289_-163.24985,UB2,Alaska,USA,YKD-UB2,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26289,-163.24985,NA,NA,evergreen shrub,488.29,Nippon MA-3000,10.7,-999,NA,SZ,NA,0,1
Alaska_UB2_61.26289_-163.24985,UB2,Alaska,USA,YKD-UB2,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26289,-163.24985,NA,NA,forb,87.06,Nippon MA-3000,6.94,-999,NA,SZ,NA,0,1
Alaska_UB2_61.26289_-163.24985,UB2,Alaska,USA,YKD-UB2,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26289,-163.24985,NA,NA,graminoid,0.89,Nippon MA-3000,19.62,-999,NA,SZ,NA,0,1
Alaska_UB2_61.26289_-163.24985,UB2,Alaska,USA,YKD-UB2,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26289,-163.24985,NA,NA,moss,350.8,Nippon MA-3000,94.96,-999,NA,SZ,NA,0,1
Alaska_UB3_61.23781_-163.20921,UB3,Alaska,USA,YKD-UB3,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.23781,-163.20921,NA,NA,deciduous shrub,187.61,Nippon MA-3000,12.5,-999,NA,SZ,NA,0,1
Alaska_UB3_61.23781_-163.20921,UB3,Alaska,USA,YKD-UB3,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.23781,-163.20921,NA,NA,evergreen shrub,209.24,Nippon MA-3000,22.95,-999,NA,SZ,NA,0,1
Alaska_UB3_61.23781_-163.20921,UB3,Alaska,USA,YKD-UB3,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.23781,-163.20921,NA,NA,graminoid,119.03,Nippon MA-3000,10.06,-999,NA,SZ,NA,0,1
Alaska_UB3_61.23781_-163.20921,UB3,Alaska,USA,YKD-UB3,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.23781,-163.20921,NA,NA,moss,506.52,Nippon MA-3000,58.56,-999,NA,SZ,NA,0,1
Alaska_UB4_61.26097_-163.24286,UB4,Alaska,USA,YKD-UB4,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26097,-163.24286,NA,NA,deciduous shrub,16.26,Nippon MA-3000,7.11,-999,NA,SZ,NA,0,1
Alaska_UB4_61.26097_-163.24286,UB4,Alaska,USA,YKD-UB4,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26097,-163.24286,NA,NA,graminoid,37.16,Nippon MA-3000,14.24,-999,NA,SZ,NA,0,1
Alaska_UB4_61.26097_-163.24286,UB4,Alaska,USA,YKD-UB4,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.26097,-163.24286,NA,NA,moss,482.79,Nippon MA-3000,96.28,-999,NA,SZ,NA,0,1
